,name,rating,review,company_type,Head_Quarters,Company_Age,No_of_Employee
1585,Lenovo,4.0,(230 Reviews),Private,Quarry Bay + 52 more,16 years old,50k-1 Lakh employees (Global)
1586,Christian Medical ...,4.5,(230 Reviews),Private,"Vellore,Tamil Nadu + 16 more",121 years old,1k-5k employees (Global)
1587,Monte Carlo,4.0,(230 Reviews),Public,"Ludhiana,Punjab + 46 more",37 years old,1k-5k employees (Global)
1588,Monte Carlo,4.0,(230 Reviews),Public,"Ludhiana,Punjab + 46 more",37 years old,1k-5k employees (Global)
1589,HEISCO,4.1,(230 Reviews),Private,Safat + 17 more,47 years old,201-500 employees (India)
1590,SABIC,4.3,(230 Reviews),Private,Riyadh + 14 more,45 years old,1k-5k employees (India)
1591,INDIABULLS PHARMAC...,2.7,(230 Reviews),Private,Mumbai + 43 more,5 years old,1k-5k employees (India)
1592,Onward eServices,3.8,(230 Reviews),Public,"Mumbai,Maharashtra + 35 more",18 years old,501-1k employees (Global)
1593,Ferrero,4.0,(230 Reviews),Private,"Pune,Maharashtra + 37 more",17 years old,501-1k employees (India)
1594,Artemis Health Ins...,4.3,(229 Reviews),Public,"Gurgaon/Gurugram,Haryana + 6 more",14 years old,1k-5k employees (Global)
1595,B. Braun Medical,4.2,(229 Reviews),Private,"Melsungen,Hesse + 35 more",182 years old,201-500 employees (India)
1596,LIC Housing Financ...,4.1,(229 Reviews),Public,"Mumbai,Maharashtra + 80 more",32 years old,1k-5k employees (Global)
1597,Reliance Home Fina...,4.6,(229 Reviews),Public,"Mumbai,Maharashtra + 44 more",13 years old,501-1k employees (Global)
1598,VGN Projects Estat...,4.5,(229 Reviews),Private,"Chennai,Tamil Nadu",79 years old,501-1k employees (Global)
1599,Elecon Engineering,4.0,(229 Reviews),Public,Gujrat + 18 more,70 years old,1k-5k employees (Global)
1600,Pennar Industries,3.5,(228 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 14 more",33 years old,1k-5k employees (Global)
1601,Airports Authority...,4.2,(228 Reviews),Private,"Delhi/NCR,New Delhi + 55 more",26 years old,10k-50k employees (Global)
1602,AccorHotels,4.2,(228 Reviews),Private,Paris + 30 more,54 years old,1 Lakh+ employees (Global)
1603,Maersk Line,4.3,(228 Reviews),Public,"Copenhagen,Copenhagen + 18 more",117 years old,501-1k employees (India)
1604,Zydus Wellness,3.7,(228 Reviews),Public,Ahmedabad + 46 more,27 years old,501-1k employees (Global)
1605,EID Parry (India),4.2,(228 Reviews),Public,"Chennai,Tamil Nadu + 25 more",233 years old,501-1k employees (Global)
1606,Unimoni,3.9,(228 Reviews),"Abu Dhabi,Dubai + 56 more",15 years old,1k-5k employees (India),
1607,TÜV NORD,3.8,(228 Reviews),Private,"Mumbai,Maharashtra + 24 more",32 years old,201-500 employees (India)
1608,MeritNation,3.7,(227 Reviews),Private,"New Delhi,Delhi + 21 more",33 years old,501-1k employees (Global)
1609,Neeyamo Enterprise...,3.8,(227 Reviews),Private,"Chennai,Tamil Nadu + 4 more",12 years old,1k-5k employees (Global)
1610,Astral Adhesives,4.3,(227 Reviews),Private,"Ahmedabad,Gujarat + 51 more",34 years old,5k-10k employees (Global)
1611,SHARE Microfin,4.3,(227 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 85 more",32 years old,1k-5k employees (Global)
1612,Federal mogul Goet...,4.1,(227 Reviews),Public,"Gurgaon/Gurugram,Haryana + 19 more",67 years old,5k-10k employees (Global)
1613,SKH Metals,3.7,(227 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",15 years old,1k-5k employees (Global)
1614,Inbisco,3.8,(227 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 43 more",13 years old,1k-5k employees (Global)
1615,Emerson Network Po...,4.2,(227 Reviews),Public,"St. Louis,Missouri + 35 more",131 years old,1k-5k employees (India)
1616,TCI Express,4.1,(227 Reviews),Public,Gurugram + 48 more,25 years old,1k-5k employees (India)
1617,NU Vista,4.0,(227 Reviews),Public,"Kolkata,West Bengal + 36 more",47 years old,501-1k employees (Global)
1618,NU Vista,4.0,(227 Reviews),Public,"Kolkata,West Bengal + 36 more",47 years old,501-1k employees (Global)
1619,Principal Global S...,4.1,(227 Reviews),Private,Des Moines + 2 more,15 years old,1k-5k employees (India)
1620,CDK Global,4.0,(227 Reviews),Private,"Hoffman Estates,Illinois",7 years old,1k-5k employees (India)
1621,The Park Hotels,4.1,(226 Reviews),Private,"Kolkata,West Bengal + 17 more",54 years old,10k-50k employees (Global)
1622,Kirloskar Pneumati...,4.3,(226 Reviews),Public,"Pune,Maharashtra + 9 more",63 years old,501-1k employees (India)
1623,Roop Polymers,4.1,(226 Reviews),Public,"Gurgaon/Gurugram,Haryana + 12 more",48 years old,1k-5k employees (Global)
1624,Kokilaben Dhirubha...,3.8,(226 Reviews),Private,"Mumbai,Maharashtra + 8 more",12 years old,1k-5k employees (Global)
1625,KGISL,3.8,(225 Reviews),Private,"Coimbatore,Tamil Nadu + 3 more",25 years old,1k-5k employees (Global)
1626,Chandigarh Univers...,3.3,(225 Reviews),Private,"Mohali,Punjab + 23 more",9 years old,5k-10k employees (Global)
1627,Bussan Auto Financ...,4.3,(225 Reviews),Private,New Delhi + 41 more,87 years old,5k-10k employees (Global)
1628,Havmor Ice Cream,4.1,(225 Reviews),Private,"Ahmedabad,Gujrat + 37 more",77 years old,1k-5k employees (Global)
1629,Williams Lea Tag,3.9,(225 Reviews),Public,London + 10 more,201 years old,201-500 employees (India)
1630,Allegis Group,3.7,(224 Reviews),Private,"Hanover,Maryland + 9 more",38 years old,501-1k employees (India)
1631,V-Xpress,4.4,(224 Reviews),Private,"Chembur,Maharashtra + 51 more",19 years old,1k-5k employees (Global)
1632,SAMSUNG C&T,4.2,(224 Reviews),"Suwon-Si,Gyeonggi-Do + 13 more",83 years old,501-1k employees (India),
1633,Vikram Solar,3.8,(223 Reviews),Private,"Kolkata,West Bengal + 17 more",15 years old,1k-5k employees (Global)
1634,GTL,4.5,(223 Reviews),Public,"Mumbai,Maharashtra + 32 more",34 years old,5k-10k employees (Global)
1635,Mahanagar Gas,4.1,(223 Reviews),Public,"Mumbai,Maharashtra + 14 more",26 years old,1k-5k employees (Global)
1636,Incedo,3.7,(223 Reviews),Private,"Iselin,New Jersey + 6 more",10 years old,1k-5k employees (India)
1637,Paramount Health S...,3.8,(223 Reviews),Private,"Mumbai,Maharashtra + 20 more",19 years old,1k-5k employees (Global)
1638,Venky's,3.9,(223 Reviews),Public,"Pune,Maharashtra + 41 more",45 years old,1k-5k employees (Global)
1639,Photon Interactive,3.6,(223 Reviews),Private,London + 4 more,22 years old,1k-5k employees (Global)
1640,Ramboll,4.3,(222 Reviews),Private,"Copenhagen,Denmark + 21 more",15 years old,1k-5k employees (India)
1641,Welspun Group,3.8,(222 Reviews),Public,Mumbai + 23 more,36 years old,1k-5k employees (India)
